industry,quarter,mrsort_box_only,mrsort_rc,mrsort_rc_vrc_no4,mrsort_rc_vrc,note
기계,2025Q3,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기계,2025Q4,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기계,2026Q1,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기계,2026Q2,CHECK|PRIORITY,PRIORITY,PRIORITY,PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기타,2022Q1,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기타,2022Q2,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기타,2022Q3,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,CHECK|PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기타,2022Q4,OBSERVE|PRIORITY,OBSERVE|PRIORITY,OBSERVE|PRIORITY,PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기타,2023Q1,OBSERVE|PRIORITY,OBSERVE|PRIORITY,OBSERVE|PRIORITY,PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기타,2023Q2,OBSERVE|PRIORITY,OBSERVE|PRIORITY,OBSERVE|PRIORITY,PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기타,2023Q3,OBSERVE|PRIORITY,OBSERVE|PRIORITY,OBSERVE|PRIORITY,PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기타,2023Q4,,,,,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기타,2024Q1,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기타,2024Q2,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기타,2024Q3,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기타,2024Q4,,,,,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기타,2025Q1,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기타,2025Q2,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기타,2025Q3,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기타,2025Q4,OBSERVE|PRIORITY,OBSERVE|PRIORITY,OBSERVE|PRIORITY,PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기타,2026Q1,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기타,2026Q2,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
목재종이,2022Q1,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
목재종이,2022Q2,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
목재종이,2022Q3,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
목재종이,2022Q4,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
목재종이,2023Q1,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
목재종이,2023Q2,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
목재종이,2023Q3,OBSERVE|PRIORITY,OBSERVE|PRIORITY,OBSERVE|PRIORITY,PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
목재종이,2023Q4,,,,,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
목재종이,2024Q1,OBSERVE|PRIORITY,OBSERVE|PRIORITY,OBSERVE|PRIORITY,PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
목재종이,2024Q2,OBSERVE|PRIORITY,OBSERVE|PRIORITY,OBSERVE|PRIORITY,PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
목재종이,2024Q3,OBSERVE|PRIORITY,OBSERVE|PRIORITY,OBSERVE|PRIORITY,PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
목재종이,2024Q4,,,,,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
목재종이,2025Q1,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
목재종이,2025Q2,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
목재종이,2025Q3,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
목재종이,2025Q4,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
목재종이,2026Q1,OBSERVE|PRIORITY,OBSERVE|PRIORITY,OBSERVE|PRIORITY,OBSERVE|PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
목재종이,2026Q2,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,CHECK|PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
비금속,2022Q1,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
비금속,2022Q2,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
비금속,2022Q3,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
비금속,2022Q4,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
비금속,2023Q1,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
비금속,2023Q2,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
비금속,2023Q3,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
비금속,2023Q4,,,,,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
비금속,2024Q1,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
비금속,2024Q2,OBSERVE|PRIORITY,OBSERVE|PRIORITY,OBSERVE|PRIORITY,PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
비금속,2024Q3,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
비금속,2024Q4,,,,,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
비금속,2025Q1,OBSERVE|PRIORITY,OBSERVE|PRIORITY,OBSERVE|PRIORITY,PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
비금속,2025Q2,OBSERVE|PRIORITY,OBSERVE|PRIORITY,OBSERVE|PRIORITY,PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
비금속,2025Q3,OBSERVE|PRIORITY,OBSERVE|PRIORITY,OBSERVE|PRIORITY,PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
비금속,2025Q4,OBSERVE|PRIORITY,OBSERVE|PRIORITY,OBSERVE|PRIORITY,PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
비금속,2026Q1,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
비금속,2026Q2,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
석유화학,2022Q1,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
석유화학,2022Q2,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
석유화학,2022Q3,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
석유화학,2022Q4,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
석유화학,2023Q1,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
석유화학,2023Q2,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
석유화학,2023Q3,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
석유화학,2023Q4,,,,,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
석유화학,2024Q1,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
석유화학,2024Q2,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
석유화학,2024Q3,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
석유화학,2024Q4,,,,,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
석유화학,2025Q1,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
석유화학,2025Q2,OBSERVE|PRIORITY,OBSERVE|PRIORITY,OBSERVE|PRIORITY,PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
석유화학,2025Q3,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
석유화학,2025Q4,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
석유화학,2026Q1,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
석유화학,2026Q2,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
섬유의복,2022Q1,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
섬유의복,2022Q2,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
섬유의복,2022Q3,OBSERVE|PRIORITY,OBSERVE|PRIORITY,OBSERVE|PRIORITY,PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
섬유의복,2022Q4,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
섬유의복,2023Q1,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
섬유의복,2023Q2,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
섬유의복,2023Q3,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
섬유의복,2023Q4,,,,,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
섬유의복,2024Q1,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
섬유의복,2024Q2,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
섬유의복,2024Q3,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
섬유의복,2024Q4,,,,,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
섬유의복,2025Q1,OBSERVE|PRIORITY,OBSERVE|PRIORITY,OBSERVE|PRIORITY,PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
섬유의복,2025Q2,OBSERVE|PRIORITY,OBSERVE|PRIORITY,OBSERVE|PRIORITY,PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
섬유의복,2025Q3,OBSERVE|PRIORITY,OBSERVE|PRIORITY,OBSERVE|PRIORITY,PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
섬유의복,2025Q4,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
섬유의복,2026Q1,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
섬유의복,2026Q2,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
운송장비,2022Q1,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
운송장비,2022Q2,OBSERVE|CHECK,CHECK,CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
운송장비,2022Q3,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
운송장비,2022Q4,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
운송장비,2023Q1,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
운송장비,2023Q2,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
운송장비,2023Q3,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
운송장비,2023Q4,,,,,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
운송장비,2024Q1,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
운송장비,2024Q2,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
운송장비,2024Q3,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
운송장비,2024Q4,,,,,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
운송장비,2025Q1,OBSERVE|CHECK,CHECK,CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
운송장비,2025Q2,OBSERVE|CHECK,CHECK,CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
운송장비,2025Q3,OBSERVE|CHECK,CHECK,CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
운송장비,2025Q4,PRIORITY,PRIORITY,PRIORITY,PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
운송장비,2026Q1,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
운송장비,2026Q2,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
음식료,2022Q1,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
음식료,2022Q2,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
음식료,2022Q3,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
음식료,2022Q4,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
음식료,2023Q1,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
음식료,2023Q2,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
음식료,2023Q3,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
음식료,2023Q4,,,,,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
음식료,2024Q1,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
음식료,2024Q2,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
음식료,2024Q3,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
음식료,2024Q4,,,,,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
음식료,2025Q1,OBSERVE|PRIORITY,OBSERVE|PRIORITY,OBSERVE|PRIORITY,OBSERVE|PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
음식료,2025Q2,CHECK|PRIORITY,CHECK|PRIORITY,CHECK|PRIORITY,CHECK|PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
음식료,2025Q3,CHECK|PRIORITY,CHECK|PRIORITY,CHECK|PRIORITY,CHECK|PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
음식료,2025Q4,CHECK|PRIORITY,CHECK|PRIORITY,CHECK|PRIORITY,PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
음식료,2026Q1,OBSERVE|CHECK|PRIORITY,CHECK|PRIORITY,CHECK|PRIORITY,PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
음식료,2026Q2,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
전기전자,2022Q1,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
전기전자,2022Q2,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
전기전자,2022Q3,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
전기전자,2022Q4,OBSERVE|CHECK,CHECK,CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
전기전자,2023Q1,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
