figure_id,category,label,value,unit,source_file,source_column,source_row_filter,caveat,allowed_phrasing,run_id,run_started_at,input_sha256,prereg_sha256,prereg_status,prereg_amendment_ids,phase
F09,VALIDATION,후보 D 순위연관(CAL/HOLD/ALL),0.7470/0.4446/0.6497,spearman,config/model_revalidation_prereg.yaml,invalidated_gates[IG1].reason,,어떤 다기준 후보도 위 이진 기준선을 넘지 못했다.,다기준 모형이 예측 타깃에서 이진 기준선보다 낮다는 사실 자체가 그 타깃을 폐기한 근거입니다.,20260918T043719795387Z-ce09d511,2026-09-18T04:37:19.795387+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",6
F10_full_parameter_space,ROBUSTNESS,전체 공간 필연배정 비율(판별표본),0.0112,ratio,outputs/tables/electre_preference_expansion.csv,necessary_share_discriminating,space_id=full_parameter_space,"판별표본 89행 기준, 합격선 0.30.",전체 공간에서 판별표본 필연배정 비율은 1.1%입니다.,20260918T043719795387Z-ce09d511,2026-09-18T04:37:19.795387+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",6
F10_reference_compatible_subspace,ROBUSTNESS,참조사례만 양립 필연배정 비율(판별표본),0.1011,ratio,outputs/tables/electre_preference_expansion.csv,necessary_share_discriminating,space_id=reference_compatible_subspace,"판별표본 89행 기준, 합격선 0.30.",참조사례만 양립에서 판별표본 필연배정 비율은 10.1%입니다.,20260918T043719795387Z-ce09d511,2026-09-18T04:37:19.795387+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",6
F10_reference_plus_virtual_subspace,ROBUSTNESS,참조사례+가상 프로파일 양립(공식) 필연배정 비율(판별표본),0.5169,ratio,outputs/tables/electre_preference_expansion.csv,necessary_share_discriminating,space_id=reference_plus_virtual_subspace,"판별표본 89행 기준, 합격선 0.30.",참조사례+가상 프로파일 양립(공식)에서 판별표본 필연배정 비율은 51.7%입니다.,20260918T043719795387Z-ce09d511,2026-09-18T04:37:19.795387+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",6
F11_C3,ROBUSTNESS,C3 값,0.9155,ratio,outputs/tables/electre_interval_robustness.csv,value,metric_id=C3,"임계 0.95, 판정 미달. 정의는 서로 다르다(개념 구분표 참조).",C3는 91.5%로 임계 95%를 충족하지 못했습니다.,20260918T043719795387Z-ce09d511,2026-09-18T04:37:19.795387+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",6
F11_C3b,ROBUSTNESS,C3b 값,0.8928,ratio,outputs/tables/electre_interval_robustness.csv,value,metric_id=C3b,"임계 0.95, 판정 미달. 정의는 서로 다르다(개념 구분표 참조).",C3b는 89.3%로 임계 95%를 충족하지 못했습니다.,20260918T043719795387Z-ce09d511,2026-09-18T04:37:19.795387+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",6
F11_C3c_discriminating,ROBUSTNESS,C3c_discriminating 값,0.9301,ratio,outputs/tables/electre_interval_robustness.csv,value,metric_id=C3c_discriminating,"임계 0.9, 판정 통과. 정의는 서로 다르다(개념 구분표 참조).",C3c_discriminating는 93.0%로 임계 90%를 통과습니다.,20260918T043719795387Z-ce09d511,2026-09-18T04:37:19.795387+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",6
F12_I1,RESULT,I1 값,1.0,ratio,outputs/tables/electre_final_decision.csv,i1_value,block_type='interval_assignment',"임계 1.0, 판정 통과.",I1은 1.000로 임계 1.0를 통과습니다.,20260918T043719795387Z-ce09d511,2026-09-18T04:37:19.795387+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",6
F12_I2,RESULT,I2 값,0.9551,ratio,outputs/tables/electre_final_decision.csv,i2_value,block_type='interval_assignment',"임계 0.5, 판정 통과.",I2은 0.955로 임계 0.5를 통과습니다.,20260918T043719795387Z-ce09d511,2026-09-18T04:37:19.795387+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",6
F12_I3,RESULT,I3 값,0.8928,ratio,outputs/tables/electre_final_decision.csv,i3_value,block_type='interval_assignment',"임계 0.95, 판정 미달.",I3은 0.893로 임계 0.95를 충족하지 못했습니다.,20260918T043719795387Z-ce09d511,2026-09-18T04:37:19.795387+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",6
F12_I4,RESULT,I4 값,1.0,ratio,outputs/tables/electre_final_decision.csv,i4_value,block_type='interval_assignment',"임계 0.6, 판정 통과.",I4은 1.000로 임계 0.6를 통과습니다.,20260918T043719795387Z-ce09d511,2026-09-18T04:37:19.795387+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",6
F13,RESULT,최종 판정,INTERVAL_BLOCKED_BY_I3,category,outputs/tables/electre_final_decision.csv,overall_status,block_type='interval_assignment',합격선을 낮추지 않고 얻은 실측 판정이다.,공식 최종 판정은 INTERVAL_BLOCKED_BY_I3입니다.,20260918T043719795387Z-ce09d511,2026-09-18T04:37:19.795387+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",6
F14,LIMITATION,g2 b1 경계값,2.0,%p,outputs/tables/electre_c3_diagnosis.csv,g2_b1_value,,b1 경계값 자체.,g2 경계값은 2.0%p입니다.,20260918T043719795387Z-ce09d511,2026-09-18T04:37:19.795387+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",6
F15,LIMITATION,고용 자료 개정폭 90분위,1.944,%p,outputs/tables/electre_c3_diagnosis.csv,employment_revision_pool_p90_pct,,실측 vintage 수정폭 분포의 90분위다.,고용 자료 개정폭 90분위는 1.944%p입니다.,20260918T043719795387Z-ce09d511,2026-09-18T04:37:19.795387+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",6
F16,LIMITATION,경계값/개정폭 비율,1.029,ratio,outputs/tables/electre_c3_diagnosis.csv,g2_b1_vs_emp_revision_p90_ratio,,1에 가까울수록 경계값과 개정폭이 같은 크기라는 뜻이다.,비율은 1.029로 거의 같은 크기입니다.,20260918T043719795387Z-ce09d511,2026-09-18T04:37:19.795387+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",6
F17,LIMITATION,판별표본 중 개정폭 90분위 이내 비율,0.674,ratio,outputs/tables/electre_c3_diagnosis.csv,discriminating_within_p90_rate,,판별표본 89행 중 어떤 기준에서든 경계까지 거리가 개정폭 90분위 안에 있는 행의 비율이다.,판별표본의 67.4%가 경계에서 개정폭 이내 거리에 있습니다.,20260918T043719795387Z-ce09d511,2026-09-18T04:37:19.795387+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",6
F18,RESULT,2026Q2 확정(필연배정) 업종 수,3,count,outputs/tables/electre_interval_assignment.csv,n_possible,"quarter='2026Q2', n_possible==1",나머지는 범위로만 제시된다.,2026Q2 기준 10개 업종 중 3개는 단계가 확정됩니다.,20260918T043719795387Z-ce09d511,2026-09-18T04:37:19.795387+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",6
F19,RESULT,2026Q2 범위 제시 업종 수,7,count,outputs/tables/electre_interval_assignment.csv,n_possible,"quarter='2026Q2', n_possible>=2",단일 단계로 적지 않고 가능 단계 범위와 최빈 단계 비율로 표시한다.,2026Q2 기준 10개 업종 중 7개는 가능 단계 범위로 제시됩니다.,20260918T043719795387Z-ce09d511,2026-09-18T04:37:19.795387+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",6
F20,LIMITATION,VRC4 marginal_narrowing,0.744,ratio,outputs/tables/electre_preference_expansion.csv,marginal_narrowing,case_id='VRC4',이 사례 하나를 빼면 결합 양립공간이 74.4% 넓어진다 — 사실상 유일한 구속 조건이다. 기획 문서 근거는 사람이 별도로 확인해야 한다(outputs/tables/vrc4_provenance_evidence.csv).,VRC4(지속기간 단독 추가확인 규범) 하나가 결합 양립공간을 사실상 결정합니다.,20260918T043719795387Z-ce09d511,2026-09-18T04:37:19.795387+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",6
