dataset,institution,source_url,access_method,previous_status,current_status,status_changed_at,collection_result,failure_reason,observation_period,frequency,geography,industry_unit,role,usable_for_industry_signal,reason_or_limitation,alternative,stored_at,checked_at
한국전력 법정동별 상계거래 전력사용량,한국전력공사,https://www.data.go.kr/data/15104908/fileData.do,공공데이터포털 파일데이터 직접 다운로드,NOT_SUITABLE,NOT_SUITABLE,,,,2025년,월,법정동,없음,—,아니오,포털 제목은 '산업분류별' 이나 실제 제공 파일은 상계거래(자가발전 역송) 사용량이며 산업용 전력사용량이 아니다,한국전력 산업분류별 전력사용량 OpenAPI(인증키 필요),—,2026-09-18
국세청 가동사업자 현황,국세청,https://www.data.go.kr/data/15002552/fileData.do,공공데이터포털 파일데이터 직접 다운로드,NOT_SUITABLE,NOT_SUITABLE,,,,2021-03,비정기,시군구,100대 생활업종,—,아니오,제조업 세분이 없고 최신 공표본이 2021-03 이다,없음,—,2026-09-18
산업연구원 국내 제조업 경기실사,산업연구원,https://www.data.go.kr/data/15161326/fileData.do,공공데이터포털 파일데이터 직접 다운로드,NOT_SUITABLE,NOT_SUITABLE,,,,2011~2026,분기,—,—,—,아니오,제공 파일은 BSI 수치가 아니라 발간물 목록(제목·URL) 메타데이터다,한국은행 ECOS 512Y013(수집 완료),—,2026-09-18
고용행정통계(EIS) 창원시 고용보험 피보험자,고용노동부,https://eis.work.go.kr/,화면 조회 결과 수동 저장(공개 API·일괄 다운로드 경로 없음),PARTIAL,PARTIAL,,,,2022Q1~2026Q2,분기(분기말 월),창원시 5개 구,제조업 총계(업종 분해 없음),고용 교차확인(cross-check) — 총계 방향,"아니오 — 업종 분해 없음, 모집단 상이",산단이 아닌 창원시 전역. 업종별 값이 없어 총계 방향만 비교,창원상의 보고서 업종별 고용보험 수치(3개 업종),data/raw/eis/,2026-09-18
창원상공회의소 경제동향 수록 업종별 고용보험 피보험자,창원상공회의소(원자료: 고용노동부 고용보험DB),https://changwoncci.korcham.net/,보고서 PDF 수록 표 전사(저장소 기존 자산),PARTIAL,PARTIAL,,,,2022Q2~2026Q1(결측 분기 있음),분기,창원시 전역,기계·장비 / 전기장비 / 자동차·부품 3개,고용 교차확인(cross-check) — 업종 방향,제한적 — 매핑 B(기계) / C(전기전자·운송장비),"3개 업종만, 12개 분기만 수록. 모집단이 창원시 전역",KOSIS 고용보험 통계(인증키 필요),data/raw/cci_report/,2026-09-18
"고용보험 업종별 flow (피보험자 취득·상실, 시군구×산업중분류×월)",고용노동부 / 한국고용정보원,"https://kosis.kr/openapi/, https://eis.work.go.kr/",KOSIS OpenAPI 통계표 검색 (KOSIS_API_KEY),NOT_AVAILABLE,NOT_AVAILABLE,,미수집 — 자동수집 중단,고용노동부(118) 통계표 17종에 해당 표 없음. 창원시 지역통계(791) 4종은 표는 존재하나 OpenAPI 가 err=30(데이터 없음) 반환. **공개 통계의 구조적 부재로 판단해 자동수집을 중단한다(2026-09-19).** 확보한 flow 는 사업체노동력조사(제조업 총계·반기)뿐이다.,—,—,—,—,FLOW_INTERPRETATION (업종 단위는 불가),아니오,업종 단위 고용 flow 는 현재 공개 경로가 없다,사업체노동력조사(지역편) 제조업 총계 — 이미 수집,—,2026-09-19
워크넷/고용24 개별 채용공고 API,한국고용정보원,https://www.data.go.kr (고용24 채용정보 API),OpenAPI,NOT_AVAILABLE,NOT_SUITABLE,2026-09-19,수집하지 않음 — 최종모형에서 제외 결정,"개별 채용공고는 게시 시점의 공고 단위 자료라, 업종×분기 구인수요 시계열과 모집단·집계단위가 다르다. 과거 구인수요를 복원할 수 없고 공고 등록 행태에 좌우된다. **이번 최종모형에 추가하지 않는다(2026-09-19 결정).**",—,공고 등록 시점,사업장 소재지,공고별 업종 태그,—,아니오,역사적 업종×분기 구인수요와 모집단 불일치,"사업체노동력조사 빈일자리(이미 수집, 창원시 제조업 총계·반기)",—,2026-09-19
관세청_HS부호 / HSK별 신성질별·성질별 분류 (HS6 모집단 기준자료),관세청,"https://www.data.go.kr/data/15049722/fileData.do, .../15049720/",공공데이터포털 원문파일등록 다운로드(인증키 불필요),NOT_AVAILABLE,AVAILABLE,2026-09-19,"XLSX 2종 수집(1.4MB + 2.6MB). 유효 HS6 5,613개 추출, 그중 귀속 근거가 있는 류 1,248개를 모집단으로 확정",,2026-01-01 적용본,연 1회 갱신,해당없음(코드 체계),HS 10/6/2단위 + 관세청 성질분류,REFERENCE / CODE_UNIVERSE,간접 — 수출입 집계의 업종 대응 근거,신성질별 분류는 용도별(소비재/원자재/자본재)이라 업종 대응 근거로 쓰지 않았다. 류(2단위)와 공표 품명만 사용,없음,data/raw/external/customs_reference/,2026-09-19
고용노동부 사업체노동력조사(지역편) — 창원시 입직·이직·빈일자리·종사자,고용노동부 (KOSIS 수록),https://kosis.kr/statHtml/statHtml.do?orgId=118&tblId=DT_118N_MONA59,KOSIS OpenAPI statisticsParameterData.do (KOSIS_API_KEY),NOT_AVAILABLE,AVAILABLE,2026-09-19,"238행 수집. 2018상~2026상 반기, 결측 반기 없음",,2018상~2026상,반기,경상남도 창원시(시군구) — 창원국가산단 아님,산업 대분류 5구분. 제조업이 한 덩어리(광업.제조업 BC),FLOW_INTERPRETATION,아니오 — 업종 분해 불가(매핑등급 D). 제조업 총계 배경으로만,표본조사(RSE 동반). 반기 빈도. 업종별 분해 없음,없음(고용보험 DB 기반 시군구×산업 표가 KOSIS 에 없음),data/raw/external/employment_insurance/,2026-09-19
관세청 시군구별 품목별 수출입실적 — 창원시 확인 HS6 13개,관세청,https://www.data.go.kr/data/15134343/openapi.do,"OpenAPI (DATA_GO_KR_SERVICE_KEY, Encoding 형태 그대로 전달)",NOT_AVAILABLE(실수집),PARTIAL,2026-09-19,810행 수집. 2021.01~2026.06 월별. 78회 호출 pagination 전부 검증,업종 전체 커버리지 불가(HS6 전수목록 API 미등록),2021.01~2026.06,월,경상남도 창원시 — 창원국가산단 아님,HS 6단위 → KICOX 4업종(기계·운송장비·전기전자·철강),CONTEXT / EXTERNAL_DEMAND,제한적 — 확인된 품목 합계이며 업종 수출 총액이 아니다,partial_item_set. 매핑등급 A(87·72·73류) / B(84·85류),"창원상의 경제동향의 산단 수출액(단지 총계, 업종 분해 없음)",data/raw/external/customs_trade/,2026-09-19
한국은행 ECOS 기업경기조사 — 경남 지역별 + 전국 업종별 BSI,한국은행,https://ecos.bok.or.kr/,ECOS OpenAPI StatisticSearch (ECOS_API_KEY),PARTIAL(전국 제조업만),AVAILABLE,2026-09-19,"6,460행 수집. 512Y019 경남 340행 + 512Y007 전국 업종별 6,120행, 2021.01~2026.08 월별. 95회 호출 전부 list_total_count 대조",창원 단위 BSI 는 ECOS 에 존재하지 않음,2021.01~2026.08,월,경상남도(512Y019) / 전국(512Y007),512Y019 제조업 총계 / 512Y007 KSIC 중분류 18종,CONTEXT / BUSINESS_SENTIMENT,아니오 — 업종별 자동판정 금지. 거시 배경으로만,"경남 계열은 업종 세분 없음, 업종 세분 계열은 전국. 경남 업황BSI 는 관측 전 기간 100 미만이라 행 단위 변별력이 없다",없음,data/raw/external/ecos/,2026-09-19
"워크넷/고용24 구인인원·구인배수, 고용장려금(월), KICOX 공장등록 통계",한국고용정보원 / 한국산업단지공단,https://www.data.go.kr/data/15067938/openapi.do 외,OpenAPI 재시도 (DATA_GO_KR_SERVICE_KEY),NOT_AVAILABLE,NOT_AVAILABLE,,미수집,인증키는 확보했으나 해당 상세페이지에 기계판독 가능한 엔드포인트 명세(swagger host/paths)가 없다. 키도 이 API 들에 등록되어 있지 않다. 추정 endpoint 로 호출하지 않았다,—,—,—,—,—,아니오,포털 명세 부재 + API 별 활용신청 필요,KOSIS 구인배수(시도) DT_1YL1101 — 시도 단위라 산단 해석에 부적합,—,2026-09-19
고용유지지원금 (KOSIS 재검색),고용노동부,https://kosis.kr/openapi/,KOSIS OpenAPI 통계표 검색 (KOSIS_API_KEY),NOT_AVAILABLE,NOT_AVAILABLE,,미수집,인증키로 KOSIS 를 재검색했으나 '고용유지지원금' 검색 결과는 전부 한국장애인고용공단의 설문 통계였다. 지역×업종×기간 지원금 통계표 없음. **공개 통계의 구조적 부재로 판단해 자동수집을 중단한다(2026-09-19). 재개 조건은 정보공개청구 결과 확보뿐이다.**,—,—,—,—,EXTERNAL_REFERENCE_CANDIDATE,아니오,공개 통계표 부재 — 인증키로도 해소되지 않음,정보공개청구(고용노동부 창원지청),—,2026-09-19
